Attrition,Age,DistanceFromHome,Education,EnvironmentSatisfaction,JobInvolvement,JobLevel,JobSatisfaction,MonthlyIncome,NumCompaniesWorked,RelationshipSatisfaction,PerformanceRating,TotalWorkingYears,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,BusinessTravel_Non-Travel,BusinessTravel_Travel_Frequently,BusinessTravel_Travel_Rarely,Department_Human Resources,Department_Research & Development,Department_Sales,Gender_Female,Gender_Male,JobRole_Healthcare Representative,JobRole_Human Resources,JobRole_Laboratory Technician,JobRole_Manager,JobRole_Manufacturing Director,JobRole_Research Director,JobRole_Research Scientist,JobRole_Sales Executive,JobRole_Sales Representative,MaritalStatus_Divorced,MaritalStatus_Married,MaritalStatus_Single,OverTime_No,OverTime_Yes,Educational_Levels_Bachelors D.,Educational_Levels_College D.,Educational_Levels_Masters D.,Educational_Levels_Phd D.,Educational_Levels_Without College D.
Yes,36,9,4,3,2,1,1,3407,7,2,4,10,3,5,3,0,3,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,True,False,False
No,34,7,4,1,3,3,2,11994,0,3,3,13,3,12,6,2,11,False,False,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,True,False,False
No,21,15,2,3,3,1,4,1232,1,4,3,0,3,0,0,0,0,False,False,True,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,True,False,False,False
Yes,34,6,1,2,3,1,1,2960,2,3,3,8,3,4,2,1,3,False,False,True,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,True
No,53,5,3,3,3,5,3,19094,4,4,3,26,2,14,13,4,8,False,False,True,False,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False
Yes,32,16,1,2,1,1,1,3919,1,2,4,10,3,10,2,6,7,False,True,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,True
No,42,8,4,3,3,2,2,6825,0,4,3,10,3,9,7,4,2,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,True,False,False
No,44,7,4,1,2,3,4,10248,3,4,3,24,3,22,6,5,17,False,False,True,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False
No,46,2,4,2,3,5,1,18947,3,4,3,22,2,2,2,2,1,False,False,True,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False
No,33,2,3,3,3,1,4,2496,4,4,3,7,3,1,1,0,0,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False
No,44,10,4,4,3,2,4,6465,2,4,3,9,4,4,2,1,3,False,False,True,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False
No,30,9,2,4,2,1,3,2206,1,1,3,10,3,10,0,1,8,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False
Yes,39,5,3,4,3,2,4,2086,3,3,3,19,4,1,0,0,0,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,True,False,True,False,True,False,False,False,False
Yes,24,1,3,2,3,1,4,2293,2,1,3,6,2,2,0,2,0,False,False,True,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,True,True,False,False,False,False
No,43,2,2,4,4,1,3,2645,1,4,3,6,2,5,3,1,4,False,False,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False
Yes,50,3,2,1,2,1,3,2683,1,3,3,3,3,3,2,0,2,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,True,False,False,False
No,35,2,3,4,3,1,4,2014,1,1,3,2,3,2,2,2,2,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,True,False,False,False,False
No,36,5,4,2,2,1,1,3419,9,4,3,6,4,1,1,0,0,False,False,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False
No,33,1,3,3,4,2,1,5376,2,1,3,10,3,5,3,1,3,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,True,False,False,False,False
No,35,4,2,3,3,1,4,1951,1,3,3,1,3,1,0,0,0,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False
No,27,2,4,4,3,1,1,2341,1,4,3,1,3,1,0,0,0,False,False,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False
Yes,26,25,3,1,1,1,3,2293,1,3,3,1,2,1,0,0,1,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False
No,27,8,3,4,3,3,3,8726,1,4,3,9,3,9,8,1,7,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,True,True,False,True,False,False,False,False
No,30,1,2,3,3,2,4,4011,1,4,4,12,3,12,8,3,7,False,True,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False
Yes,41,12,3,2,3,5,3,19545,1,4,3,23,3,22,15,15,8,False,False,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,True,False,False,False,False
No,34,23,4,2,3,2,3,4568,0,3,4,10,3,9,5,8,7,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,True,False,False
No,37,19,2,2,3,1,2,3022,4,1,4,8,3,1,0,0,0,False,False,True,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False
No,46,5,4,1,3,2,4,5772,4,3,4,14,3,9,6,0,8,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False
No,35,8,1,4,4,1,4,2269,1,4,3,1,3,1,0,0,1,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True
Yes,48,1,2,1,2,3,3,5381,9,4,3,23,3,1,0,0,0,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False
Yes,28,5,4,3,3,1,3,3441,1,3,3,2,2,2,2,2,2,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False
No,44,1,5,2,3,2,1,5454,5,3,4,9,2,4,3,1,3,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False
No,35,11,2,3,2,3,1,9884,2,3,3,10,3,4,0,2,3,True,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False
No,26,23,3,3,2,2,4,4157,7,3,3,5,2,2,2,0,0,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,True,False,False,False,False
No,33,1,2,1,3,3,4,13458,1,3,3,15,3,15,14,8,12,False,True,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,True,False,False,False
No,35,18,5,2,3,3,1,9069,1,4,4,9,2,9,8,1,8,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,True,False
No,35,23,4,3,3,1,1,4014,3,3,3,4,3,2,2,2,2,False,False,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False
No,31,7,4,4,3,2,4,5915,3,4,4,10,2,7,7,1,7,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False
No,37,1,4,1,2,2,3,5993,1,3,3,7,4,7,5,0,7,False,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False
No,32,1,3,1,3,2,4,6162,1,2,4,9,3,9,8,7,8,False,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,True,False,False,False,False
No,38,29,5,4,3,2,4,2406,1,4,3,10,3,10,3,9,9,False,True,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False
No,50,7,2,2,2,5,3,18740,5,4,3,29,2,27,3,13,8,False,False,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False
No,59,25,3,1,3,3,1,7637,7,4,3,28,2,21,16,7,9,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,True,False,False,False,False
No,36,8,3,3,3,3,3,10096,1,2,3,17,3,17,14,12,8,False,False,True,False,True,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False
No,55,8,3,4,3,4,3,14756,2,3,3,21,3,5,0,0,2,False,False,True,False,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False
No,36,11,3,2,2,2,2,6499,1,3,3,6,3,6,5,0,3,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,True,False,True,False,False,False,False
No,45,7,3,2,3,3,1,9724,2,3,3,25,3,1,0,0,0,False,False,True,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,True,False,True,False,False,False,False
No,35,1,3,2,3,1,1,2194,4,4,3,5,2,3,2,1,2,False,True,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,True,False,False,False,False
Yes,36,9,3,4,2,1,3,3388,0,1,3,2,2,1,0,0,0,False,False,True,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,True,True,False,False,False,False
No,59,1,1,1,2,2,3,5473,7,4,3,20,2,4,3,1,3,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,True
No,29,2,3,3,3,1,2,2703,0,4,4,6,3,5,4,0,4,False,False,True,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,True,False,False,False,False
No,31,1,4,3,3,1,2,2501,1,2,3,1,3,1,1,1,0,False,False,True,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,True,False,False
No,32,1,3,2,3,2,2,6220,1,2,3,10,3,10,4,0,9,False,False,True,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,True,False,False,False,False
No,36,6,3,2,4,1,4,3038,3,2,3,5,3,1,0,0,0,False,False,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False
No,31,8,4,3,3,2,4,4424,1,4,4,11,3,11,7,1,8,False,False,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,True,False,False
No,35,1,4,3,2,2,1,4312,0,2,3,16,3,15,13,2,8,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,True,False,False
No,45,6,4,4,3,3,1,13245,4,2,3,17,4,0,0,0,0,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False
No,37,7,4,1,3,3,3,13664,4,1,3,16,4,5,2,0,2,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,True,False,False
No,46,5,2,2,3,2,2,5021,8,4,4,16,3,4,2,0,2,False,False,True,True,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False
No,30,1,1,4,2,2,4,5126,1,3,3,10,2,10,8,3,0,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True
No,35,1,3,2,2,1,3,2859,1,1,3,6,3,6,4,0,4,False,False,True,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,True,False,True,False,False,False,False
No,55,1,2,1,3,3,4,10239,3,4,3,24,3,1,0,1,0,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,True,False,False,False
No,38,6,3,2,1,2,4,5329,7,4,3,17,3,13,11,1,9,True,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,True,False,False,False,False
No,34,1,2,1,3,2,2,4325,1,3,3,5,3,5,2,1,3,False,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False,False
No,56,7,3,4,1,3,4,7260,4,1,3,37,2,6,4,0,2,False,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,True,False,True,False,False,False,False
No,23,2,1,3,3,1,1,2322,3,3,3,3,3,0,0,0,0,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,True
No,51,9,4,4,3,1,4,2075,3,2,4,10,3,4,2,0,3,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False
No,30,2,3,3,2,2,4,4152,1,1,3,11,3,11,10,10,8,False,False,True,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False
Yes,46,9,2,3,2,3,4,9619,1,4,3,9,3,9,8,4,7,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,True,False,False,False
No,40,1,4,3,2,4,2,13503,1,4,4,22,2,22,3,11,11,False,True,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False
No,51,21,4,3,3,2,4,5441,0,4,4,11,1,10,7,1,0,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False
No,30,4,2,3,2,2,2,5209,1,2,3,11,2,11,8,2,7,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False
No,46,1,3,3,2,3,1,10673,2,3,3,21,2,10,9,9,5,False,True,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False
No,32,6,4,2,3,2,3,5010,1,1,3,12,3,11,8,5,7,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,True,False,False
No,54,2,4,1,3,3,3,13549,9,1,3,16,1,4,3,0,3,False,False,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,False
No,24,3,2,1,3,2,3,4999,0,1,4,4,2,3,2,0,2,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,True,False,False,False
No,28,4,3,2,3,2,3,4221,1,2,3,5,4,5,4,0,4,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True,False,True,False,False,False,False
No,58,10,4,4,3,4,3,13872,0,3,3,38,2,37,10,1,8,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,True,False,False
No,44,23,3,2,3,2,2,2042,4,3,3,17,4,3,2,1,2,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False
Yes,37,6,4,3,3,1,1,2073,4,4,4,7,3,3,2,0,2,False,False,True,True,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False
No,32,1,1,4,3,1,1,2956,1,4,3,1,3,1,0,0,0,False,False,True,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,True
Yes,20,6,3,4,2,1,4,2926,1,2,3,1,3,1,0,1,0,False,True,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False
No,34,6,4,1,3,2,3,4809,1,3,3,16,3,16,13,2,10,False,False,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,True,False,False
No,37,2,2,3,2,2,4,5163,5,4,3,17,4,1,0,0,0,True,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False
No,59,2,4,3,2,5,4,18844,9,4,4,30,3,3,2,2,2,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False
No,50,1,3,1,3,5,2,18172,3,1,3,28,2,8,3,0,7,False,True,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,True,False,False,False,False
Yes,25,5,3,3,2,2,3,5744,1,4,3,6,3,6,4,0,3,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,True,True,False,False,False,False
No,25,7,1,4,2,1,4,2889,1,3,3,2,3,2,2,2,1,False,False,True,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,True
No,22,15,3,2,3,1,4,2871,1,3,3,1,3,0,0,0,0,False,False,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False
No,51,1,4,1,2,3,1,7484,3,3,4,23,2,13,12,12,8,False,True,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False
Yes,34,7,3,1,1,2,3,6074,1,4,4,9,3,9,7,0,6,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False
No,54,26,3,4,4,4,4,17328,2,3,3,23,3,5,3,4,4,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False
No,24,18,1,2,3,1,3,2774,0,3,3,6,3,5,3,1,2,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True
No,34,6,4,3,2,2,2,4505,6,3,3,12,3,1,0,0,0,False,False,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False
No,37,3,3,3,3,3,4,7428,2,1,3,12,3,5,3,1,3,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,True,True,False,True,False,False,False,False
No,34,5,3,3,2,3,1,11631,2,4,3,14,3,11,10,5,8,False,False,True,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False
No,36,11,2,2,3,3,4,9738,0,3,3,10,3,9,7,2,8,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,True,False,False,False
No,36,3,2,1,3,1,4,2835,5,1,4,7,3,1,0,0,0,False,False,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False
No,43,26,2,3,3,4,4,16959,1,4,3,25,4,25,12,4,12,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False
No,30,23,3,1,1,1,3,2613,1,3,4,10,2,10,7,0,9,False,True,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,True,False,True,False,False,False,False
No,33,22,2,3,3,2,2,6146,0,1,3,8,4,7,7,0,7,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,True,False,False,False
Yes,56,14,4,2,3,1,2,4963,9,1,3,7,3,5,4,4,3,False,False,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False
No,51,6,3,1,3,5,3,19537,7,3,3,23,3,20,18,15,15,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,True,False,True,False,False,False,False
Yes,31,6,4,2,1,2,3,6172,4,2,3,12,2,7,7,7,7,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False
No,26,6,3,3,2,1,2,2368,1,3,3,5,2,5,4,4,3,False,False,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,True,False,False,False,False
Yes,58,23,4,4,3,3,4,10312,1,4,3,40,2,40,10,15,6,False,False,True,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False
Yes,19,22,1,4,3,1,3,1675,1,4,3,0,2,0,0,0,0,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,True
No,22,2,1,3,3,1,4,2523,0,3,3,3,3,2,1,2,1,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True
No,49,20,4,3,3,2,1,6567,1,3,3,16,2,15,11,5,11,False,False,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False,False
No,43,28,3,2,4,1,3,4739,4,4,3,18,3,3,2,1,2,False,True,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,True,False,False,False,False
No,50,12,3,3,3,3,4,9208,4,4,3,16,3,2,2,2,1,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,True,False,False,False,False
Yes,31,20,3,2,1,2,3,4559,3,3,3,4,3,2,2,2,2,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,True,False,False,False,False
No,41,9,1,3,3,3,3,8189,3,3,3,12,3,9,7,0,7,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True
No,26,25,1,3,3,1,3,2942,1,4,4,8,3,8,7,5,7,False,False,True,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True
No,36,6,2,2,3,2,2,4941,6,4,4,7,3,3,2,0,1,False,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False,False
Yes,51,8,4,1,1,3,4,10650,2,4,3,18,3,4,2,0,3,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,True,False,False
No,39,4,4,4,2,2,3,5902,4,3,3,17,4,15,11,5,9,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,True,False,False
No,25,28,3,1,2,2,3,8639,2,4,3,6,3,2,2,2,2,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True,False,True,False,False,False,False
No,30,9,3,3,3,2,4,6347,0,4,3,12,1,11,9,4,7,False,False,True,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False
Yes,32,9,3,1,3,1,1,4200,7,1,4,10,4,5,4,0,4,False,False,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False
No,45,29,3,3,3,1,4,3452,5,2,3,9,2,6,5,0,3,False,False,True,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,True,False,True,False,False,False,False
